multivariate logistic regression,LASSO,nu-svc,nusvr,classification tree,extra-trees,boosted regression trees,k-nearest neighbours,multinomial naive bayes,feedforward neural network,resnet3d,dense net,EfficientNetB0,vgg-16-bn,Inception,mobilenetv1,nested unet,3d v-net,residual unet,YOLOv5,r cnn,ssd300,tree-lstm,minimal gated unit,bi-gru,biomed bert,gpt-3,cvt,moco,fastsam,BLIP-2,omics-pathology transformer,APPNP,heterogeneous attention network,mean aggregator,vq-vae,medgan,diffusion probabilistic model,weibull aft model,coxtime,deephit framework,transformer-based competing risk analysis,pghg,end-to-end object detection with transformers,ICNet,RNA-FM,Samba architecture
ordinal logistic regression,lasso algorithm,nusvc,regression svm,classification trees,extratrees,gradient boosted decision tree,knn,multinomialnb,fully connected feedforward neural network,resnet architecture,densenet-161,EfficientNetB1,vgg16bn,Inception family,mobilenetv3 small,unet 3+,vnet-based segmentation,res-unet,YOLOv7,region-based cnn,ssd512,attention lstm,,cnn-lstm,clinical bert,gpt3,crossvit,dino v2,sam3d,InstructBLIP,hierarchical multimodal transformer,SGC,HGT,max-pooling aggregator,auto-encoder,conditional generative adversarial network,diffusion probabilistic models,log-normal aft model,cox time,cause specific dlnn,,graph attention-based fusion for survival,dab detr,FCN,scGPT,structured state space models
softmax regression,lasso logistic regression,support vector classification,support vector machine for regression,conditional inference tree,extremely randomized trees,gradient boosted decision trees,knn classification,naive bayes,fully connected network,ResNet family,densenet161,EfficientNetB7,vgg-19-bn,InceptionV3,mobilenet v3 small,u-net 3+,3-d unet,res unet,YOLOv8,region based convolutional neural network,dssd,clockwork rnn,,cnn lstm,bio clinical bert,gpt-3.5,vit,masked autoencoder,sam,Flamingo,multimodal fusion transformer,RGCN,graph transformer,LSTM aggregator,auto-encoders,conditional generative adversarial networks,ddpms,log-logistic aft model,cox-cc,cif net,,pathology graph survival model,dn detr,fully convolutional networks,GeneBERT,structured state space sequence model
binary logistic model,lasso regression,support vector classifier,support vector machine regression,conditional inference trees,random forest regression,gradient boosted machine,knn classifier,naïve bayes,fully connected neural network,ResNet50,densenet-bc,efficientnetb2,vgg19bn,InceptionV4,mobilenetv3 large,unet3+,,resunet++,yolov1,fast rcnn,fssd,clstm,,cnn-bilstm,bio_clinicalbert,gpt3.5,vision transformers,vit-mae,sam 2,Med-Flamingo,clinical-imaging fusion transformer,relational graph convolutional network,AGNN,graph minibatch sampling,denoising autoencoders,deep convolutional generative adversarial network,denoising diffusion implicit model,fine-gray model,cox cc,competing risk deep net,,attention graph survival,anchor-detr,fully convolutional network for semantic segmentation,CodonBERT,structured state space sequence models
binomial regression,least absolute shrinkage and selection operator,support vector machine,support vector regression,ctree,random forest regressor,gradient boosted tree,knn-based classifier,naive bayes classifier,fully-connected neural network,ResNet101,densenet bc,efficientnetb3,vgg-a,google net,mobilenet v3 large,nnu-net,,resunet plus plus,yolo-v1,fast region-based cnn,efficientdet-d0,deep lstm,,cnn bilstm,blue bert,gpt4,vision transformer backbone,vit mae,sam2,LLaVA,SurvPath,graph convolutional layer,molecular graph attention,D-MPNN,stacked autoencoder,deep convolutional generative adversarial networks,denoising diffusion implicit models,fine gray model,deepcoxmixtures,compnet,,deep graph hazard model,dino-detr,seg net,dna bert,selective state space model
ordinal logit,penalized logistic regression,support vector machine classification,support vector regressor,decision tree regressor,extremely randomized tree ensemble,gradient boosting decision tree,nearest neighbor classifier,naïve bayes classifier,mlp,ResNet18,densely connected convolutional networks,efficientnetb4,vgg-b,inceptionv1,mobilenet-v4,nnunet,,r2unet,yolo9000,fast region based cnn,efficientdetd0,encoder decoder lstm,,cnn-gru,sci bert,llama-2,vit-b,beit v2,segment anything model 2,LLaVA-Med,cross-modal transformer,localized spectral filtering,knowledge graph attention network,directed message passing neural network,stacked autoencoders,wgan-gp,ddim,random survival forest,deep cox mixtures,crmnet,,gat surv,dino detr,deeplabv2,dnabert 2,selective state space models
multinomial logistic,penalized regression,support vector machine classifier,svm regression,j48,forest based classifier,gradient boosting decision trees,weighted k nearest neighbors,bayesian classifier,mlp classifier,resnet34,dense convolutional networks,efficientnetb5,vgg-c,inceptionv2,mobilenetv4,wide u-net,,attention res-unet,yolo-v2,faster rcnn,efficientdet-d1,hierarchical lstm,,cnn gru,sapbert,llama2,vit base,ibot,mobilesam,MiniGPT-4,CMTA,PatchGCN,graph attentional network,Chemprop,stacked denoising autoencoder,wasserstein gan with gradient penalty,score-based generative models,random survival forests,cox-time model,crnnet,,gcn surv,detr with improved denoising anchor boxes,deeplab v2,dnabert-s,mamba
bayesian logistic regression,regularized logistic regression,support vector machines,svm regressor,recursive partitioning,forest based regressor,gradient boosting machine,weighted k-nearest neighbors,continuous naive bayes,mlp regressor,resnet152,densenet264,efficientnetb6,vgg-d,bn-inception,shufflenet-v2,wide unet,,attention resunet,yolo-v3,faster region-based cnn,efficientdetd1,seq2seq lstm,,convlstm,sap bert,llama-3,vit-l,image bert pre-training with online tokenizer,mobile sam,CogVLM,genomic-guided attention transformer,cell graph convolutional network,graph attentional networks,molecular message passing,stacked denoising autoencoders,infogan,score-based diffusion model,coxph,cox time model,deep hit network,,gin survival,rt-detr,deeplab v3,dnabert s,mamba-2
,regularized regression,support vector network,svr,recursive partitioning analysis,quantile forest,gradient boosting tree,wknn,flexible bayes,multi-layer perceptron,resnet-v2,fc-densenet,efficientnet-v2,vgg-e,bn inception,ghostnet,multiresunet,,attention res-u-net,yolo-v4,faster region based cnn,efficientdet-d2,spatio temporal lstm,,conv-lstm,biolinkbert,llama3,vit large,eva-02,mobilesamv2,InternVL,M3T,tissue graph convolutional network,graph attention neural network,graph message passing,beta-vae,cycle-consistent adversarial network,score-based diffusion models,coxboost,cox nnet v2,deephit plus,,gnn survival model,rt detr,deeplab v3+,nucleotide transformers,mamba 2
,ridge classifier,svc,svr algorithm,regression tree,random forest algorithm,hist gradient boosting,ball tree knn,locally weighted naive bayes,multilayer perceptron,resnetv2,,efficientnet-v2-b0,,xceptionnet,ghostnetv2,multires u-net,,attresunet,yolo-v5,mask rcnn,efficientdetd2,t lstm,,convolutional lstm,bio linkbert,mistral,deit-s,eva02,mobile sam v2,mPLUG-Owl,perceiver io,molecular graph convolutional network,graph attention neural networks,Weisfeiler-Lehman GNN,beta vae,cycle-consistent adversarial networks,latent diffusion model,survival tree,deep proportional hazards model,dni net,,graph attention survival,rtdetr,linknet,gena-lm,mamba2
,ridge logistic regression,svm,least squares svr,regression trees,random forest model,histgb,distance weighted knn,naive bayes regressor,back propagation network,resnet-50-v2,,efficientnetv2b0,,inception resnet,mnasnet,no-new-net,,ru-net,yolo-v6,cascade rcnn,efficientdet-d3,time aware lstm,,convlstm2d,biomed-roberta,mixtral,deit-b,gatorovision,hq-sam,Med-PaLM M,vilbert,HGCN,gat v2,WL graph neural network,conditional variational autoencoder,stylegan2,latent diffusion models,survival trees,deepcoxmixture,deep-hit network,,graph based survival prediction,detr-like detector,ocrnet,gena lm,mambadna
,ridge regression,svm classification,rbf svr,rpart,weighted random forest,histogram based gradient boosting,improved knn,semi naive bayes,deep elm,resnet50v2,,efficientnet-v2-b1,,inceptionresnetv2,nasnetmobile,dense u net,,runet,yolo-v7,cascade mask r-cnn,efficientdetd3,,,convlstm3d,biomed roberta,claude,data-efficient image transformer,dinov1,hq sam,BioViL,vi lbert,heterogeneous graph convolutional network,graph attention network v2,gated graph sequence neural network,conditional variational autoencoders,acgan,ldm,aft survival model,deepph,deephit-plus,,graph cox model,deim-detr,bisenet,gena language model,mamba dna
,sparse logistic regression,svm classifier,gaussian svr,c50,random decision forest,histogram-based gradient boosting,k nn,tree augmented naive bayes,elm,resnet-101-v2,,efficientnetv2b1,,inception-v3 based network,mnv4,dense unet,,att unet,yolo-v8,cascade mask rcnn,efficientdet-d4,,,convgru,clinical-longformer,gemini,data efficient image transformer,eva-01,med sam,BioViL-T,vision-and-language bert,HGNN,graph attention networks v2,SchNet,vq vae,auxiliary classifier gan,ncsn,cause specific hazards model,neural cox model,deep cif,,graph cox surv,detr decoder,deep labv3,gena language models,caduceus
,elastic net logistic,c svm,polynomial svr,cart,extremely randomised trees,stochastic gradient boosting,kd tree knn,semi-naive bayes,elm network,resnet101v2,,efficientnet-v2-b2,,xception-like,mobilenext,mru net,,double u net,yolo-v9,mrcnn,efficientdetd4,,,conv-gru,clinical longformer,gemma,swin-transformer,vision mae,medsam2,CheXagent,vision and language bert,SignedGCN,heterogeneous graph attention network,DimeNet,vector-quantized variational autoencoder,lsgan,noise-conditional score network,cox ph,neural cox proportional hazards model,cif-net,,graph hazard model,deformable detection transformer,encnet,genomebert,s4d
,glmnet,cost sensitive svm,least-squares svr,cart model,oblique random forest,catboost model,knn regressor,tree-augmented naive bayes,extreme learning machine,resnet-152-v2,,efficientnetv2b2,,,mobileone,multi res unet,,dual u net,yolov10,frcnn,efficientdet-d5,,,lstm-gru,clinical-bigbird,palm 2,swin transformer v2,beitv2,medsam 2,PathChat,visualbert,protein-protein interaction GCN,gat conv,PaiNN,adversarial autoencoders,progressive gan,noise conditional score network,cox regression,nnet survival,,,graph neural network survival,,fcn 16s,genome bert,bimamba
,lasso logistic,least squares svm,,decision stump,balanced random forest,gradient boosted tree ensemble,local weighted knn,weighted naive bayes,ffnn,resnet152v2,,efficientnet-v2-b3,,,fbnet,nn u net,,rcu net,yolo-v10,faster rcnn framework,efficientdetd5,,,gru-lstm,clinical bigbird,med palm,swin v2,virchow,fast sam,Florence,visual bert,drug-target interaction GCN,gated gat,ALIGNN,cvae,progan,iddpm,exponential regression survival,deep cox network,,,graph survival net,,fcn 32s,metagenbert,mamba block
,ridge logistic,margin based classifier,,id3,,lightgbm model,radius neighbors classifier,kernel naive bayes,generalised regression neural net,wide-resnet,,efficientnetv2b3,,,,u shaped encoder decoder,,rcunet,yolo11,oriented r-cnn,efficientdet-d6,,,hybrid lstm gru,gatortron,med-palm 2,mvit,virchow2,medsam-3,Florence-2,lxmert,pooling GCN,global gat,equivariant message passing,contractive autoencoder,stylegan3,improved denoising diffusion probabilistic models,flexible parametric survival,deepcox,,,graph survival network,,fcn 8s,omni-dna,selective scan
,elastic-net logistic,max margin classifier,,rotation tree,,xgb,ranked knn,,generalized regression neural network,resnext-50,,efficientnet-v2-s,,,,u shaped network,,recurrent u net,yolov11,,efficientdetd6,,,birnn,gatortron og,med palm 2,mvitv2,prov-gigapath,medsam3,PaLI,learning cross-modality encoder representations from transformers,graph convolution network,hgat,DiffPool,regularized autoencoder,pix2pixhd,score matching,fpsm,coxnnet,,,graphsage survival,,object contextual representation network,dna foundation model,
,logistic lasso,max margin svm,,c4.5 decision tree,,xgboost model,sknn,,grnn,resnext50,,efficientnetv2s,,,,u2 net,,swin unet,yolo-v11,,efficientdet-d7,,,blstm-hmm,gatortrons,bio gpt,multiscale vision transformer,gigapath,sam-hq,PaliGemma,learning cross modality encoder representations from transformers,graph convolution networks,gat,hierarchical graph pooling,undercomplete autoencoder,contrastive unpaired translation,denoising score matching,kaplan meier,cox-nnet v2,,,hetero surv gnn,,,,
,logistic ridge,nu svm,,exhaustive chaid,,gbrt,typicality based knn,,pnn,resnext-101,,efficientnet-v2-m,,,,u2-net,,swin unetr,ppyolo,,efficientdetd7,,,cnn-bigru,biomegatron,biomedlm,multiscale vision transformers,h-optimus-0,sam-2,vision-language pre-training,uniter,graph convolutional neural network,,graph network,recurrent autoencoder,sagan,dpmpp,log logistic model,deep-ph,,,heterogeneous graph survival,,,,
,,oc svm,,oblique decision tree,,gradient boosting classifier,k-nn,,probabilistic neural net,resnext101,,efficientnetv2m,,,,u2net,,swinunet,yolo-nas,,efficientdet-lite,,,echo state network,bio megatron,pubmedgpt,pyramid vision transformers,h-optimus,tinysam,visual instruction tuning,universal image-text representation,graph convolutional neural networks,,CGCNN,conditional vae,self-attention gan,dpm-solver,log logistic survival,cox proportional hazards neural network,,,multiomic surv gnn,,,,
,,one class svm,,model tree,,gradient boosting regressor,distance-weighted kNN,,probabilistic neural network,se-resnet,,efficientnet-v2-l,,,,double u-net,,trans unet,yoloe,,efficientdet lite,,,encoder decoder rnn,medbert,pubmed gpt,cait,phikon,edgesam,image-text alignment,universal image text representation,spectral graph convolutional networks,,molecular graph network,disentangled vae,biggan,consistency model,log normal survival model,,,,pathology graph survival,,,,
,,poly kernel svm,,m5 model tree,,xgboost classifier,fuzzy kNN,,radial basis function network,seresnet,,efficientnetv2l,,,,dual u-net,,transunet,yolo detector,,retinamask,,,independent rnn,roberta-biomed,chatgpt,cai t,ctranspath,per-sam,vision-language model,albef,chebnetii,,protein graph transformer,hierarchical vae,srgan,flow matching,parametric survival regression,,,,patient similarity graph survival,,,,
,,sigmoid svm,,quest tree,,xgboost regressor,adaptive kNN,,rbf network,se-resnext,,efficientnet-lite,,,,nn-u-net,,unetr,,,rfbnet,,,indrnn,deberta-biomed,gpt-4o,t2t-vit,hibou,persam,visual language model,align before fuse,gcn ii,,SphereNet,nvae,super-resolution gan,rectified flow,restricted cubic spline survival model,,,,spatial graph surv,,,,
,,spectrum kernel svm,,recursive partitioning tree,,lgbm,,,rbfn,seresnext,,efficientnet lite,,,,nnunetv2,,att-unet,,,centernet,,,recurrent encoder decoder,longformer-clinical,medgemma,t2t vit,uni2,medsam-2,GPT-4V,vilt,gcn-based model,,graph sage,vq-vae-2,esrgan,conditional diffusion model,royston parmar model,,,,temporal graph survival,,,,
,,string kernel svm,,,,,,,shallow neural network,pre-activation resnet,,,,,,,,att_unet,,,cornernet,,,recurrent net,multimodal BERT,scifive,twins transformer,masked autoencoder vit,lite-medsam,PRISM,vision-and-language transformer,graph convolutional representation network,,message passing graph neural network,vqvae,stargan,classifier-free guidance,subdistribution hazards model,,,,wsi graph survival,,,,
,,structured svm,,,,,,,single hidden layer feedforward network,preactivation resnet,,,,,,,,recurrent u-net,,,,,,recurrent neural network,MMBERT,gpt-neo,vit-base,UNI,litemedsam,CheXzero,vision and language transformer,chebyshev gcn,,message passing graph neural networks,evidence lower bound,stargan v2,classifier guidance,cox model,,,,,,,,
,,svm algorithm,,,,,,,,residual attention network,,,,,,,,dense-unet,,,,,,recurrent sequence model,,gpt-j,vit-large,,biomedsam,Phi-3-Vision,oscar model,gcn,,graph isomorphism networks,elbo,histogan,dall-e 2,cox proportional hazards,,,,,,,,
,,svm based classifier,,,,,,,,,,,,,,,,multi-res unet,,,,,,reservoir rnn,,gpt-neox,vit-small,,sam-med,image-text matching,xbert,gcn conv,,principal neighbourhood aggregation,reparameterization trick,pathologygan,meddiff,cox hazard model,,,,,,,,
,,svm based model,,,,,,,,,,,,,,,,,,,,,,rnn,,mt-nlg,mobilevit,,medical sam adapter,contrastive language image pre training,m3p,ppi gcn,,principal neighborhood aggregation,scvae,vae-gan,med-diffusion,proportional hazards regression,,,,,,,,
,,svm model,,,,,,,,,,,,,,,,,,,,,,seq2seq rnn,,megatron-turing,token-to-token vit,,adaptersam,open clip,vil-medic,relational graph conv net,,edge conditioned convolution,scvi,gan inversion,diffusion transformer,weibull survival model,,,,,,,,
,,tree kernel svm,,,,,,,,,,,,,,,,,,,,,,simple rnn,,jurassic-2,deepvit,,loramednet,blip 2,bi modal transformer,sgcn,,dmon gnn,totalvi,patch gan discriminator,imagen,weibull regression,,,,,,,,
,,polynomial svm,,,,,,,,,,,,,,,,,,,,,,skip rnn,,medpalm,compact conv-transformer,,samantha-med,bootstrapping language-image pre-training,cross attention transformer,spatial gcn,,glimpse gnn,diva,ac gan,neural ode,exponential survival model,,,,,,,,
,,poly-kernel svm,,,,,,,,,,,,,,,,,,,,,,vanilla rnn,,google gemini,swinv2,,polyp-sam,bootstrapping language image pre training,fusion transformer,spectral gcn,,gtn,survival vae,agan,score function,log-logistic survival,,,,,,,,
,,rbf svm,,,,,,,,,,,,,,,,,,,,,,,,gemini-pro,pvtv2,,polypsam,openflamingo,fusionformer,supergcn,,hetero gnn,graph vae,attention gan,classifier free guidance diffusion,log-normal survival model,,,,,,,,
,,gaussian svm,,,,,,,,,,,,,,,,,,,,,,,,gemini-ultra,twins-svt,,breast-sam,open flamingo,graph text image transformer,variational gcn,,heterogeneous gnn,gvae,big gan,cold diffusion,parametric survival model,,,,,,,,
,,radial basis function svm,,,,,,,,,,,,,,,,,,,,,,,,bio-gpt,twins-pcpvt,,breastsam,llava-1.5,medical perceiver,vgcn,,mean sage,molecular vae,cycle gan,glide diffusion,piecewise exponential model,,,,,,,,
,,nu-svm,,,,,,,,,,,,,,,,,,,,,,,,clin-gpt,deit-t,,sam-path,llava 1.5,mmt bert,gae,,mm gnn,jmvae,deep convolutional gan,image diffusion model,flexible parametric survival model,,,,,,,,
,,least-squares svm,,,,,,,,,,,,,,,,,,,,,,,,clinicalgpt,conformer-vit,,sampath,bio vil,multi modal transformer,,,molecular gnn,infovae,dual gan,imagen diffusion,royston-parmar model,,,,,,,,
,,multiclass svm,,,,,,,,,,,,,,,,,,,,,,,,clinical-gpt,cait-xxs24,,pathsam,biovil t,multimodal encoder decoder transformer,,,multi modal gnn,aae,gan aug,med ddpm,competing risks regression,,,,,,,,
,,weighted svm,,,,,,,,,,,,,,,,,,,,,,,,dxgpt,cross-vit,,wsi-sam,biomed clip,multimodal language model,,,pooling graph network,denoising sparse autoencoder,segan,medical diffusion model,cause-specific hazards model,,,,,,,,
,,cost-sensitive svm,,,,,,,,,,,,,,,,,,,,,,,,dx-gpt,maxvit,,3d-sam-adapter,med clip,multimodal transformer,,,ppi gnn,factor vae,segmentation gan,noise conditional score net,cumulative incidence model,,,,,,,,
,,linear support vector machine,,,,,,,,,,,,,,,,,,,,,,,,medgpt,nest-transformer,,segsz,medblip,perceiver ar,,,protein gnn,info vae,spade gan,palette diffusion,,,,,,,,,
,,c-svm,,,,,,,,,,,,,,,,,,,,,,,,medi-gpt,vision transformer model,,miss-sam,med blip,video image text transformer,,,sortpool,multimodal autoencoder,spadegan,pseudo numerical diffusion,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,med-alpaca,vit model,,skin-sam,med flamingo,,,,top k pooling gnn,overcomplete autoencoder,stylegan v2,sde diffusion,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,medalpaca,HIPT,,skinsam,xvlm,,,,gin,seq vae,tgan,super resolution diffusion,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,pmc-llama,ViT-Det,,derm-sam,x-vlm,,,,,sequence vae,time series gan,meddiffusion,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,chatdoctor,,,surgical-sam,instruct blip,,,,,vamp prior vae,unet gan,med-ddpm,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,doctor-glm,,,unisam,radfm,,,,,variational auto encoder,cycle-gan,noise-conditional score net,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,llama-med,,,mosam,blip 2 med,,,,,vector quantised vae,stylegan-v2,pndm,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,falcon-40b,,,sam adapter,blip med,,,,,vector-quantised vae,least squares gan,edm diffusion,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,mpt-7b,,,med-sa,clip model,,,,,info-vae,ac-gan,elucidated diffusion,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,galactica,,,sa-med2d,conch model,,,,,factor-vae,dualgan,progressive distillation diffusion,,,,,,,,,
